follower_username,followee_username
user_116374117927631468606,user_101765416973555767821
user_112188647432305746617,user_107727150903234299458
user_116719211656774388392,user_100432456209427807893
user_117421021456205115327,user_101096322838605097368
user_116407635616074189669,user_113556266482860931616
user_105706178492556563330,user_111169963967137030210
user_107527001343993112621,user_110877363259509543172
user_105513412023818293063,user_115710735637044108808
user_108736646334864181044,user_112393248315358692010
user_108683283643126638695,user_107111579950257773726
user_103743296950120157401,user_103583604759580854844
user_113838352498860544569,user_118299777136505117634
user_106027609527831583580,user_118299777136505117634
user_108322543021146059132,user_100814778216375933054
user_106558284273162270526,user_115478779964227301239
user_108396103565552463387,user_104987932455782713675
user_106862156479660675047,user_113222062708936891262
user_115221898088173734174,user_107026299993226528916
user_101692096009250888838,user_109043804130056015419
user_108443027359212340995,user_109412257237874861202
user_101650411383078099702,user_112579116320573535497
user_115459243651688775505,user_100300281975626912157
user_116766352265080910418,user_116098871290246433189
user_116200892915573902040,user_113715935026755255296
user_102815391713140794570,user_111698080133801028608
user_111159671558660040486,user_117296255407633884056
user_108208513736292177751,user_112737087024763980113
user_113261832667487932178,user_105513412023818293063
user_106501936839371135482,user_115565811010545226083
user_107625557514813177939,user_109667384864782087641
user_105015334290243649083,user_105268634963924623607
user_106467891941793155295,user_118292708268361843293
user_113859540036726448291,user_113801236315350503728
user_116334142134816078699,user_114765095157367281222
user_101692096009250888838,user_109813811254829685344
user_103341723446617438320,user_109980414289125676367
user_102665200552377966664,user_106198127150293840110
user_102522934609785480475,user_103486150650858067282
user_113581596275616200424,user_113127486243987630038
user_109849052345512343653,user_107058695811249115309
user_109398421611492546729,user_107426011058867778586
user_105902716863305090394,user_113475277239647026452
user_101261243957067319422,user_111890945016831896743
user_113003110209055466285,user_118053787345192709725
user_107727150903234299458,user_109870053628419941069
user_102038831382717835405,user_107318169263608653171
user_112960790583164686894,user_116013911318003177996
user_114516047414042281846,user_114618043230336563405
user_115772174763814642163,user_102737705736968820678
user_117109117655029143874,user_112218872649456413744
user_116339430670263519533,user_103030116155431184588
user_109318802055851257299,user_101373193613128995135
user_111965319170155055546,user_109789939743085010576
user_102255986016613110352,user_114618043230336563405
user_107732802446301744236,user_115514397255079403751
user_104424338679069151673,user_112375731670409469973
user_108056398297424061653,user_107151624355255036787
user_117791391761541223690,user_104737437767089317857
user_101650411383078099702,user_100313541166146935114
user_103721531088765428547,user_114506169898055621778
user_113764089012565237302,user_106812353891907639293
user_103149424132366342295,user_114345903275605514915
user_110379434263550065795,user_100070927167992422053
user_107395795129791787754,user_117259934788907243749
user_100124389520659251191,user_103809839833065657064
user_102522934609785480475,user_111923578555541250439
user_115243459806091371553,user_114742546997782116347
user_117297867503542100495,user_113593979594890738368
user_106914186897370535526,user_115843902743138499802
user_107991035368810507771,user_107534991451098430533
user_102255986016613110352,user_107332232527606860180
user_102648148748642147788,user_105902716863305090394
user_118301801570268856235,user_106189723444098348646
user_110636639253275529090,user_114466969251209334825
user_117421021456205115327,user_113754283359377615013
user_105902716863305090394,user_110615203095633370838
user_117698165607464864806,user_101465854435804471513
user_114742546997782116347,user_103833388179391400138
user_103721531088765428547,user_107332232527606860180
user_101052845941647002594,user_109504153335660824173
user_118189579474565903298,user_113863532089714339729
user_100377940347053808663,user_102271937385988687810
user_117680872003014443769,user_106862156479660675047
user_112527318327313368964,user_100221555167886931877
user_100856215453651990855,user_114345903275605514915
user_103341723446617438320,user_101052845941647002594
user_118340792148219128230,user_117220917963904171499
user_101650411383078099702,user_114979831891112909762
user_105068531496447333786,user_113751353481962008916
user_107527001343993112621,user_113154773924849387260
user_112276589013569458330,user_106979372492552141708
user_109266052612007295479,user_103133177397090504113
user_117388252776312694644,user_113702637309752822154
user_109596373340495798827,user_104885672108365535825
user_104679138423679974698,user_112594943080800558027
user_115516333681138986628,user_113097276181543898574
user_104602860284118862026,user_118170059441102440825
user_114629508960670409934,user_102034052532213921839
user_112527318327313368964,user_101265890424846702444
user_105071119031637859845,user_117344752225183656923
user_111159671558660040486,user_103112149634414554669
user_101448421982595335481,user_107358865307002159479
user_116719211656774388392,user_106223273394899986618
user_108346637271615594833,user_111353258033215403477
user_101157854606139706613,user_117680872003014443769
user_112696040957795558674,user_112472063587247013272
user_113910357978240753730,user_109220060006128553211
user_101222579319909953067,user_100872931924256445066
user_104577357381178665210,user_109342148209917802565
user_114765095157367281222,user_112564135762572403710
user_103399926392582289066,user_112614367259340988369
user_106507463771539639056,user_115360979797396777969
user_102725109790365996602,user_114629508960670409934
user_100487948960127602987,user_116098871290246433189
user_113581596275616200424,user_101836208498876328891
user_107211094246725549672,user_115450369001355623660
user_110379434263550065795,user_108144430629893821152
user_115243459806091371553,user_103997409386976193988
user_107156755577155979497,user_103920960738189723326
user_111091089527727420853,user_102604554618567108175
user_107375322906605680039,user_103839604733587411268
user_102547044539623029950,user_117297867503542100495
user_114985346359714431656,user_107543460658107759808
user_107527001343993112621,user_114618043230336563405
user_109596373340495798827,user_114746422988923214718
user_109317282441167678380,user_104550678234629742078
user_118292708268361843293,user_108189587050871927619
user_107534991451098430533,user_113686253941057080055
user_100333543044473222310,user_115958937168985975805
user_111162301399626566385,user_103029870795404358045
user_103911183408644149411,user_108159551615224338529
user_113340344488226387361,user_109813896768294978296
user_103461291458554701630,user_105228342880444036996
user_115490868856377625184,user_112661262066626464523
user_107156755577155979497,user_107330528562005281406
user_103697821787469756035,user_114082129627545059603
user_107959790171356428064,user_100313541166146935114
user_116513405135290689474,user_103797409565331693058
user_102255986016613110352,user_102744972162477610699
user_109923941665874520762,user_104885672108365535825
user_101052845941647002594,user_100974258168375166691
user_106612198252274444886,user_114345903275605514915
user_101682840338947184385,user_118418436905562612953
user_116207116265059961468,user_112599748506977857728
user_118224579703977604263,user_113872202125493185615
user_107545326706908151271,user_107117483540235115863
user_107797841320768724118,user_108152786201218528136
user_112330426094287690538,user_113544226688149802325
user_116719211656774388392,user_107161758471284783023
user_100763770877733610336,user_104577357381178665210
user_118340792148219128230,user_112875351967017263037
user_110776101657735290617,user_113710395888978478005
user_103103834116993607848,user_112072934052683456906
user_116766352265080910418,user_113702637309752822154
user_103984595971776502972,user_102034052532213921839
user_112799586715644830245,user_104424338679069151673
user_113612142759476883204,user_103716847685048716973
user_108802007785063759788,user_117068310245969878270
user_105126600602218044918,user_115623252983295760522
user_105198837466762147542,user_116464344073545994074
user_112696040957795558674,user_112528361054207070701
user_109699802280969182272,user_113643425309682495997
user_118299777136505117634,user_104987932455782713675
user_103103834116993607848,user_100327603635717936220
user_107760322959931160638,user_103712172077289099783
user_111035851894814840076,user_104428814384443083380
user_109699802280969182272,user_103616688306533110915
user_108037135973386438800,user_102604554618567108175
user_102815391713140794570,user_110580546447401631126
user_107111579950257773726,user_116229548584533052328
user_102829356913057400397,user_112799900876016618370
user_114688759411241407928,user_113625462103500841369
user_103368812767070779872,user_108189587050871927619
user_109145684557742553091,user_101333593083741950617
user_105146290850515029724,user_107323662131088936833
user_110636639253275529090,user_108855865811376080819
user_104679138423679974698,user_107583881769758392932
user_110379434263550065795,user_101738342045651955119
user_102665200552377966664,user_103149424132366342295
user_117220917963904171499,user_103721531088765428547
user_105146290850515029724,user_100493440776527702800
user_107926385284408156819,user_106324123467069891099
user_114744510189908480227,user_117895053585997781991
user_100333543044473222310,user_112671613807103204042
user_106612198252274444886,user_111910200485959385328
user_106944536119733342041,user_114765095157367281222
user_112883523226102191623,user_100043057758270223301
user_101682840338947184385,user_103795921262630398720
user_114870652491954460386,user_107375322906605680039
user_114334979365075139609,user_108189587050871927619
user_113316148669723868015,user_101465854435804471513
user_101962829696981365403,user_115111902757485641613
user_114987957963756854287,user_106784868338928174619
user_114121522802422541341,user_118207880179234484610
user_103616688306533110915,user_105009504092403807731
user_115243459806091371553,user_109667384864782087641
user_107318169263608653171,user_102090995491094543233
user_111510457148784436503,user_101739469994127372590
user_114700236104341164111,user_112393248315358692010
user_102815391713140794570,user_100673001273604863893
user_107892094740226004193,user_115080511474130363904
user_102522934609785480475,user_113625462103500841369
user_116229548584533052328,user_115970504272079730559
user_104679138423679974698,user_103145081878594422544
user_110877363259509543172,user_106563076987268237912
user_108322543021146059132,user_115221898088173734174
user_114345903275605514915,user_112662293249952729394
